I lose.|I lost.
I try.|I tried.
We lose.|We lost.
Get lose!|Get lost!
I be fat.|I am fat.
I do OK.|I did OK.
I do it.|I did it.
I get it.|I got it.
I phone.|I phoned.
I'm do.|I'm done.
She come.|She came.
She die.|She died.
Tom come.|Tom came.
Tom die.|Tom died.
Tom lose.|Tom lost.
Who die?|Who died?
Be seat.|Be seated.
He be ill.|He is ill.
He be old.|He is old.
Here I be.|Here I am.
I be busy.|I am busy.
I be calm.|I am calm.
I be cold.|I am cold.
I be good.|I am good.
I be here.|I am here.
I be lazy.|I am lazy.
I be okay.|I am okay.
I be sick.|I am sick.
I be sure.|I am sure.
I be weak.|I am weak.
I get hot.|I got hot.
I have fun.|I had fun.
I lose it.|I lost it.
I notice.|I noticed.
I say no.|I said no.
I say so.|I said so.
I be new.|I was new.
I'm arm.|I'm armed.
I'm cure.|I'm cured.
I'm die.|I'm dying.
I'm go.|I'm going.
I'm lie.|I'm lying.
I'm tire.|I'm tired.
I've lose.|I've lost.
It fail.|It failed.
It snow.|It snowed.
It work.|It worked.
It's do.|It's done.
It's lose.|It's lost.
She cry.|She cried.
She try.|She tried.
They lie.|They lied.
They lose.|They lost.
We agree.|We agreed.
We do it!|We did it!
We do it.|We did it.
We talk.|We talked.
We wait.|We waited.
Well do!|Well done!
Who be he?|Who is he?
Who be it?|Who is it?
You try.|You tried.
Am I die?|Am I dying?
Am I fire?|Am I fired?
Am I hire?|Am I hired?
He give in.|He gave in.
He be a DJ.|He is a DJ.
He be busy.|He is busy.
He be here!|He is here!
He be kind.|He is kind.
He be late.|He is late.
He be lazy.|He is lazy.
He be poor.|He is poor.
He be sick.|He is sick.
He make it.|He made it.
Here he be!|Here he is!
Here it be.|Here it is.
I be a man.|I am a man.
I be human.|I am human.
I be ready.|I am ready.
I be right.|I am right.
I be sorry.|I am sorry.
I be tired.|I am tired.
I do that.|I did that.
I fix it.|I fixed it.
I get busy.|I got busy.
I get lost.|I got lost.
I get sick.|I got sick.
I have help.|I had help.
I like it.|I liked it.
I love it.|I loved it.
I make tea.|I made tea.
I make two.|I made two.
I promise.|I promised.
I say yes.|I said yes.
I scream.|I screamed.
I survive.|I survived.
I try it.|I tried it.
I be away.|I was away.
I be busy.|I was busy.
I be good.|I was good.
I be late.|I was late.
I be lost.|I was lost.
I be sick.|I was sick.
I write it.|I wrote it.
I'm eat.|I'm eating.
I'm load.|I'm loaded.
I'm lose.|I'm losing.
I'm move.|I'm moving.
I'm pay.|I'm paying.
I'm rest.|I'm rested.
I'm ruin.|I'm ruined.
I'm waste.|I'm wasted.
I've try.|I've tried.
Is it do?|Is it done?
It be cold.|It is cold.
It go OK.|It went OK.
Mama cry.|Mama cried.
No kid?|No kidding?
She be old.|She is old.
She smile.|She smiled.
Stop lie.|Stop lying.
They vote.|They voted.
Thbe be it.|This is it.
Time be up.|Time is up.
Tom help.|Tom helped.
Tom look.|Tom looked.
Tom nod.|Tom nodded.
Tom sigh.|Tom sighed.
Tom yawn.|Tom yawned.
Tom's die.|Tom's died.
We be men.|We are men.
We make it.|We made it.
We're do.|We're done.
We're lose.|We're lost.
What be it?|What is it?
Where be I?|Where am I?
Who be we?|Who are we?
Who do it?|Who did it?
Who talk?|Who talked?
Who yell?|Who yelled?
You do it!|You did it!
All be well.|All is well.
Are we do?|Are we done?
Are we lose?|Are we lost?
He chuckle.|He chuckled.
He get away.|He got away.
He grow old.|He grew old.
He have come!|He has come!
He have guts.|He has guts.
He have wine.|He has wine.
He be drunk.|He is drunk.
He be eight.|He is eight.
He be hated.|He is hated.
He be nasty.|He is nasty.
He be smart.|He is smart.
He be young.|He is young.
He resign.|He resigned.
He squint.|He squinted.
He be busy.|He was busy.
He's come.|He's coming.
He's cry.|He's crying.
He's fake.|He's faking.
He's load.|He's loaded.
Here she be!|Here she is!
Here we be!|Here we are!
Here we be.|Here we are.
How be you?|How are you?
How be life?|How is life?
I also go.|I also went.
I be French.|I am French.
I be Korean.|I am Korean.
I be a cook.|I am a cook.
I be a monk.|I am a monk.
I be better.|I am better.
I be coming.|I am coming.
I be hungry.|I am hungry.
I be joking.|I am joking.
I be single.|I am single.
I be taller.|I am taller.
I ask Tom.|I asked Tom.
I bury it.|I buried it.
I burn it.|I burned it.
I come back.|I came back.
I confess.|I confessed.
I don't go.|I didn't go.
I exercise.|I exercised.
I feel lose.|I feel lost.
I get bored.|I got bored.
I get dizzy.|I got dizzy.
I get fined.|I got fined.
I get lucky.|I got lucky.
I get upset.|I got upset.
I have to go.|I had to go.
I love you.|I loved you.
I mess up.|I messed up.
I nail it.|I nailed it.
I recover.|I recovered.
I say stop.|I said stop.
I say that.|I said that.
I save you.|I saved you.
I wait up.|I waited up.
I be alone.|I was alone.
I be bored.|I was bored.
I be broke.|I was broke.
I be dizzy.|I was dizzy.
I be drunk.|I was drunk.
I be fired.|I was fired.
I be hired.|I was hired.
I be lucky.|I was lucky.
I be moved.|I was moved.
I be naive.|I was naive.
I be ready.|I was ready.
I be sober.|I was sober.
I be sorry.|I was sorry.
I be there.|I was there.
I be tired.|I was tired.
I be wrong.|I was wrong.
I wash it.|I washed it.
I go home.|I went home.
I go, too.|I went, too.
I'm baffle.|I'm baffled.
I'm bless.|I'm blessed.
I'm dance.|I'm dancing.
I'm diet.|I'm dieting.
I'm drive.|I'm driving.
I'm engage.|I'm engaged.
I'm excite.|I'm excited.
I'm fast.|I'm fasting.
I'm hum.|I'm humming.
I'm kid.|I'm kidding.
I'm leave.|I'm leaving.
I'm puzzle.|I'm puzzled.
I'm retire.|I'm retired.
I'm shock.|I'm shocked.
I'm slosh.|I'm sloshed.
I'm starve.|I'm starved.
I'm stay.|I'm staying.
I'm stun.|I'm stunned.
I'm talk.|I'm talking.
I'm tease.|I'm teasing.
I'm touch.|I'm touched.
I'm win.|I'm winning.
I'm work.|I'm working.
I've fail.|I've failed.
Is she go?|Is she gone?
It be foggy.|It is foggy.
It be long.|It was long.
It's lock.|It's locked.
Keep try.|Keep trying.
Life be fun.|Life is fun.
Lunch be on.|Lunch is on.
No one come.|No one came.
No one die.|No one died.
Nobody come.|Nobody came.
Nobody die.|Nobody died.
She blush.|She blushed.
She faint.|She fainted.
She be curt.|She is curt.
She be dead.|She is dead.
She be kind.|She is kind.
She be late.|She is late.
Stop cry.|Stop crying.
Stop try.|Stop trying.
That be all.|That is all.
That work.|That worked.
There he be.|There he is.
There it be.|There it is.
They burn.|They burned.
They get it.|They got it.
They hug.|They hugged.
They smile.|They smiled.
Thbe be bad.|This is bad.
Thbe be big.|This is big.
Thbe be fun.|This is fun.
Thbe be hbe.|This is his.
Thbe be new.|This is new.
Thbe be odd.|This is odd.
Tom blink.|Tom blinked.
Tom drown.|Tom drowned.
Tom be dead.|Tom is dead.
Tom be nuts.|Tom is nuts.
Tom be weak.|Tom is weak.
Tom laugh.|Tom laughed.
Tom's bore.|Tom's bored.
Tom's lie.|Tom's lying.
War be evil.|War is evil.
War be hell.|War is hell.
We be even.|We are even.
We be here.|We are here.
We be late.|We are late.
We do fine.|We did fine.
We do that.|We did that.
We promise.|We promised.
We survive!|We survived!
We survive.|We survived.
We're arm.|We're armed.
We're bore.|We're bored.
We're die.|We're dying.
We're go.|We're going.
We're save.|We're saved.
We're tire.|We're tired.
What be art?|What is art?
What be it?|What was it?
Where be he?|Where is he?
Where be I?|Where was I?
Who be you?|Who are you?
Who be next?|Who is next?
Who's go?|Who's going?
Whose be it?|Whose is it?
You be big.|You are big.
You be mad.|You are mad.
You cheat.|You cheated.
You faint.|You fainted.
You're lose.|You're lost.
All be quiet.|All is quiet.
All be still.|All is still.
Are you lose?|Are you lost?
Easy do it.|Easy does it.
He deny it.|He denied it.
He doze off.|He dozed off.
He get angry.|He got angry.
He have a dog.|He had a dog.
He have a car.|He has a car.
He have money.|He has money.
He be a poet.|He is a poet.
He be asleep.|He is asleep.
He be cranky.|He is cranky.
He be eating.|He is eating.
He be heroic.|He is heroic.
He be not in.|He is not in.
He kick it.|He kicked it.
He lose face.|He lost face.
He want one.|He wants one.
He be alone.|He was alone.
He be brave.|He was brave.
He be great.|He was great.
He be lucky.|He was lucky.
He be naive.|He was naive.
He be wrong.|He was wrong.
How annoy!|How annoying!
How do I do?|How did I do?
I be Italian.|I am Italian.
I be ashbeed.|I am ashamed.
I be at home.|I am at home.
I be curious.|I am curious.
I be married.|I am married.
I be so sick.|I am so sick.
I be thirsty.|I am thirsty.
I be working.|I am working.
I apologize.|I apologized.
I call him.|I called him.
I call you.|I called you.
I cry, too.|I cried, too.
I do my job.|I did my job.
I do see it.|I did see it.
I don't ask.|I didn't ask.
I don't cry.|I didn't cry.
I don't pay.|I didn't pay.
I don't win.|I didn't win.
I enjoy it.|I enjoyed it.
I get carded.|I got carded.
I get caught.|I got caught.
I get dumped.|I got dumped.
I get sleepy.|I got sleepy.
I get soaked.|I got soaked.
I have doubts.|I had doubts.
I handle it.|I handled it.
I help out.|I helped out.
I hug her.|I hugged her.
I just move.|I just moved.
I kiss Tom.|I kissed Tom.
I love that.|I loved that.
I make a bet.|I made a bet.
I make plans.|I made plans.
I make these.|I made these.
I miss you.|I missed you.
I say maybe.|I said maybe.
I see a rise.|I see a rose.
I start it.|I started it.
I take risks.|I took risks.
I try hard.|I tried hard.
I try that.|I tried that.
I be asleep.|I was asleep.
I be beaten.|I was beaten.
I be burned.|I was burned.
I be canned.|I was canned.
I be framed.|I was framed.
I be lonely.|I was lonely.
I be shaken.|I was shaken.
I be sleepy.|I was sleepy.
I be stupid.|I was stupid.
I be warned.|I was warned.
I go twice.|I went twice.
I write that.|I wrote that.
I'm addict.|I'm addicted.
I'm all do.|I'm all done.
I'm confuse.|I'm confused.
I'm culture.|I'm cultured.
I'm divorce.|I'm divorced.
I'm drown.|I'm drowning.
I'm famish.|I'm famished.
I'm fight.|I'm fighting.
I'm finish.|I'm finished.
I'm freeze.|I'm freezing.
I'm ground.|I'm grounded.
I'm involve.|I'm involved.
I'm manage.|I'm managing.
I'm not do.|I'm not done.
I'm offend.|I'm offended.
I'm outrage.|I'm outraged.
I'm reform.|I'm reformed.
I'm shoot.|I'm shooting.
I'm sleep.|I'm sleeping.
I'm so tire!|I'm so tired!
I'm speak.|I'm speaking.
I'm starve!|I'm starving!
I'm starve.|I'm starving.
I'm think.|I'm thinking.
I'm thrill.|I'm thrilled.
I've decide.|I've decided.
I've do it.|I've done it.
I've get you.|I've got you.
I've lose it.|I've lost it.
I've retire.|I've retired.
I've see it.|I've seen it.
Iron be hard.|Iron is hard.
It amaze me.|It amazed me.
It have begun.|It has begun.
It be a book.|It is a book.
It be a song.|It is a song.
It be my cat.|It is my cat.
It be unfair.|It is unfair.
It ben't new.|It isn't new.
It scar me.|It scared me.
It take time.|It took time.
It be black.|It was black.
It be night.|It was night.
It be noisy.|It was noisy.
It be white.|It was white.
It ben't me.|It wasn't me.
It's miss.|It's missing.
It's snow.|It's snowing.
It's start.|It's started.
Keep drive.|Keep driving.
Keep look.|Keep looking.
Keep run.|Keep running.
Keep work.|Keep working.
Life go on.|Life goes on.
Life be hard.|Life is hard.
Mary be cute.|Mary is cute.
Men be pigs.|Men are pigs.
No one care.|No one cared.
No one move.|No one moved.
Nobody ask.|Nobody asked.
She be a fox.|She is a fox.
She be lucky.|She is lucky.
She be quiet.|She is quiet.
She be sharp.|She is sharp.
She be wrong.|She is wrong.
She be young.|She is young.
She like it.|She liked it.
She shriek.|She shrieked.
She sue him.|She sued him.
She be busy.|She was busy.
She go out.|She went out.
Someone come.|Someone came.
Stop argue.|Stop arguing.
Stop film.|Stop filming.
Stop gawk.|Stop gawking.
Stop star.|Stop staring.
Stop talk.|Stop talking.
Stop yell!|Stop yelling!
Stop yell.|Stop yelling.
That be mine.|That is mine.
They escape.|They escaped.
They give up.|They gave up.
They laugh.|They laughed.
They refuse.|They refused.
They say no.|They said no.
They sweat.|They sweated.
They're do.|They're done.
They're go.|They're gone.
Thbe be easy.|This is easy.
Thbe be fine.|This is fine.
Thbe be free.|This is free.
Thbe be gold.|This is gold.
Thbe be hers.|This is hers.
Thbe be huge.|This is huge.
Thbe be lame.|This is lame.
Thbe be life!|This is life!
Thbe be love.|This is love.
Thbe be mine.|This is mine.
Thbe be nice.|This is nice.
Thbe be sick.|This is sick.
Thbe be ugly.|This is ugly.
Tom finish.|Tom finished.
Tom be a spy.|Tom is a spy.
Tom be awful.|Tom is awful.
Tom be blind.|Tom is blind.
Tom be cruel.|Tom is cruel.
Tom be drunk.|Tom is drunk.
Tom be dying.|Tom is dying.
Tom be there.|Tom is there.
Tom listen.|Tom listened.
Tom love it.|Tom loved it.
Tom shrug.|Tom shrugged.
Tom be poor.|Tom was poor.
Tom be shot.|Tom was shot.
Tom's come.|Tom's coming.
Tom's eat.|Tom's eating.
We all cry.|We all cried.
We be Arabs.|We are Arabs.
We be happy.|We are happy.
We get on OK.   We get lucky.|We get on OK.   We got lucky.
We get ready.|We got ready.
We need it.|We needed it.
We succeed!|We succeeded!
We succeed.|We succeeded.
We be busy.|We were busy.
We're bias.|We're biased.
We're close.|We're closed.
We're come.|We're coming.
We're date.|We're dating.
We're doom.|We're doomed.
We're lose.|We're losing.
